Title,Category,Tags,Challenge_Addressed,Business_Stage,Resource_Type,Time_Investment,Difficulty_Level,Prerequisites,Expected_Outcome,Keywords,Description
"Awakening Seeker Journey Map","Awakening Journeys","awakening, seeker, spiritual","Understanding spiritual awakening clients","Starting out","Map","2 hours","Intermediate","Customer journey knowledge","Clear awakening client path","awakening seeker journey","Journey from spiritual awakening to transformation"
"Healing Trauma Client Pathway","Healing Journeys","trauma, healing, recovery","Trauma-informed client experience","Advanced","Map","3 hours","Advanced","Trauma awareness","Safe healing journey","trauma healing pathway","Client journey through spiritual trauma healing"
"Conscious Entrepreneur Development","Business Journeys","entrepreneur, conscious, development","Spiritual business client growth","Scaling","Map","2 hours","Advanced","Business knowledge","Successful spiritual entrepreneur journey","conscious entrepreneur development","Journey to becoming a spiritual entrepreneur"
"Soul Purpose Discovery Journey","Purpose Journeys","soul purpose, discovery, calling","Purpose-seeking client path","All stages","Map","2 hours","Intermediate","Purpose work","Clear soul purpose","soul purpose discovery journey","Journey to discovering life purpose"
"Spiritual Life Transition Support","Transition Journeys","transition, support, change","Life change client support","All stages","Map","2 hours","Advanced","Transition work","Smooth life transitions","spiritual transition support","Supporting clients through major life changes"
"Energy Healing Client Progression","Healing Journeys","energy healing, progression, wellness","Energy healing client development","Starting out","Map","90 min","Advanced","Energy work knowledge","Progressive healing journey","energy healing progression","Client journey through energy healing"
"Manifestation Mastery Pathway","Manifestation Journeys","manifestation, mastery, creation","Manifestation skill development","All stages","Map","2 hours","Intermediate","Manifestation knowledge","Manifestation mastery","manifestation mastery pathway","Journey to manifestation expertise"
"Divine Feminine Awakening Journey","Feminine Journeys","divine feminine, awakening, empowerment","Feminine empowerment path","All stages","Map","2 hours","Advanced","Feminine work","Empowered feminine energy","divine feminine awakening","Journey to divine feminine empowerment"
"Sacred Relationship Healing Path","Relationship Journeys","relationship, healing, sacred","Relationship transformation","All stages","Map","2 hours","Advanced","Relationship work","Healed relationships","sacred relationship healing","Journey to healthy spiritual relationships"
"Spiritual Business Launch Journey","Business Journeys","business launch, spiritual, entrepreneur","New spiritual business path","Starting out","Map","3 hours","Advanced","Business launch","Successful spiritual business","spiritual business launch journey","Journey from idea to profitable spiritual business"
"Inner Child Healing Progression","Healing Journeys","inner child, healing, integration","Inner child work client path","Advanced","Map","2 hours","Advanced","Inner child work","Integrated inner child","inner child healing progression","Journey through inner child healing"
"Spiritual Teacher Development Path","Teacher Journeys","teacher, development, spiritual","Teacher training progression","Established","Map","3 hours","Advanced","Teaching experience","Confident spiritual teacher","spiritual teacher development","Journey to becoming a spiritual teacher"
"Conscious Money Healing Journey","Money Journeys","money, healing, abundance","Money mindset transformation","All stages","Map","2 hours","Advanced","Money mindset work","Healthy money relationship","conscious money healing","Journey to healthy money relationship"
