Title,Category,Tags,Challenge_Addressed,Business_Stage,Resource_Type,Time_Investment,Difficulty_Level,Prerequisites,Expected_Outcome,Keywords,Description
"What does my soul truly want to create in this world?","Soul Purpose","soul purpose, creation, calling","Lack of clarity about purpose","Starting out","Journal Prompt","15 min","Beginner","None","Clear purpose direction","soul purpose creation calling","Deep reflection on soul's creative calling"
"How do I feel about receiving money for my spiritual gifts?","Money Mindset","money, gifts, receiving","Money blocks around spiritual work","Starting out","Journal Prompt","20 min","Intermediate","Self-awareness","Healed money mindset","money spiritual gifts receiving","Exploring money beliefs in spiritual work"
"When do I feel most isolated in my business journey?","Isolation Healing","isolation, loneliness, business","Spiritual business isolation","All stages","Reflection Prompt","15 min","Beginner","None","Reduced isolation feelings","isolation business loneliness","Identifying patterns of business isolation"
"What fears come up when I think about promoting my services?","Marketing Fears","fear, promotion, marketing","Fear of self-promotion","Starting out","Journal Prompt","20 min","Intermediate","Self-awareness","Confident marketing","fear promotion marketing","Healing fears around spiritual marketing"
"How does perfectionism show up in my spiritual business?","Perfectionism","perfectionism, business, control","Perfectionist tendencies","All stages","Reflection Prompt","15 min","Intermediate","Self-awareness","Released perfectionism","perfectionism business control","Identifying perfectionist patterns"
"What would I create if I knew I couldn't fail?","Fear Release","fear, failure, creation","Fear of failure","Starting out","Vision Prompt","10 min","Beginner","None","Expanded creative vision","fear failure creation","Expanding beyond fear limitations"
"How do I honor my sensitivity as a business strength?","Sensitivity","sensitivity, strength, gifts","Seeing sensitivity as weakness","All stages","Reflection Prompt","15 min","Intermediate","Sensitivity awareness","Strength in sensitivity","sensitivity strength gifts","Reframing sensitivity as business asset"
"What boundaries do I need to create around my energy?","Boundaries","boundaries, energy, protection","Poor energy boundaries","All stages","Boundary Prompt","20 min","Advanced","Energy awareness","Healthy energy boundaries","boundaries energy protection","Creating protective energy boundaries"
"How can I integrate my spiritual practice with business tasks?","Integration","integration, practice, business","Spiritual-business separation","All stages","Integration Prompt","15 min","Intermediate","Spiritual practice","Integrated spiritual business","integration practice business","Merging spirituality with business activities"
"What stories am I telling myself about not being ready?","Readiness","readiness, stories, limiting beliefs","Imposter syndrome","Starting out","Belief Prompt","20 min","Advanced","Self-awareness","Released limiting beliefs","readiness stories limiting beliefs","Challenging readiness stories"
"How does my inner child feel about being seen in business?","Inner Child","inner child, visibility, business","Fear of visibility","Starting out","Inner Work Prompt","25 min","Advanced","Inner child work","Comfortable visibility","inner child visibility business","Healing inner child fears around business"
"What would my highest self say about my business dreams?","Higher Self","higher self, dreams, guidance","Self-doubt","All stages","Guidance Prompt","15 min","Intermediate","Self-connection","Clear higher guidance","higher self dreams guidance","Accessing higher wisdom for business"
"How do I feel when I compare my journey to others?","Comparison","comparison, jealousy, journey","Comparison trap","All stages","Reflection Prompt","15 min","Intermediate","Self-awareness","Reduced comparison","comparison jealousy journey","Healing comparison and jealousy"
"What does abundance mean to me beyond money?","Abundance","abundance, meaning, wealth","Limited abundance definition","All stages","Definition Prompt","20 min","Intermediate","Abundance awareness","Expanded abundance consciousness","abundance meaning wealth","Expanding definition of spiritual abundance"
"How can I serve from my wounds and experiences?","Service","service, wounds, healing","Turning pain into purpose","All stages","Service Prompt","25 min","Advanced","Self-reflection","Purpose from pain","service wounds healing","Finding service through personal healing"
"What is my relationship with receiving help and support?","Receiving","receiving, help, support","Difficulty receiving","All stages","Relationship Prompt","15 min","Intermediate","Self-awareness","Comfortable receiving","receiving help support","Healing ability to receive"
"How does shame show up in my spiritual business?","Shame Healing","shame, business, healing","Business shame","All stages","Healing Prompt","25 min","Advanced","Shame awareness","Released business shame","shame business healing","Identifying and healing business shame"
"What would I do if I trusted divine timing completely?","Divine Timing","divine timing, trust, surrender","Impatience with results","All stages","Trust Prompt","15 min","Advanced","Surrender practice","Peace with divine timing","divine timing trust surrender","Developing trust in divine timing"
"How do I want to be remembered for my spiritual work?","Legacy","legacy, impact, remembrance","Unclear impact vision","Established","Vision Prompt","20 min","Intermediate","Impact awareness","Clear legacy vision","legacy impact remembrance","Creating vision for spiritual legacy"
"What parts of me need healing before I can fully serve?","Healer Healing","healer healing, wounded healer, service","Wounded healer syndrome","All stages","Healing Prompt","30 min","Advanced","Self-healing awareness","Healed healer capacity","healer healing wounded service","Healing the healer's wounds"
"How does my spiritual ego interfere with my business?","Spiritual Ego","spiritual ego, humility, service","Spiritual bypassing","All stages","Ego Prompt","25 min","Advanced","Ego awareness","Humble spiritual service","spiritual ego humility","Identifying spiritual ego patterns"
"What would love do in my business situation right now?","Love-Based Decisions","love, decisions, guidance","Business decision anxiety","All stages","Decision Prompt","10 min","Beginner","None","Love-based business decisions","love decisions guidance","Making business decisions from love"
"How do I feel about being seen as a spiritual authority?","Authority","authority, expertise, visibility","Authority discomfort","Established","Authority Prompt","20 min","Advanced","Teaching experience","Comfortable spiritual authority","authority expertise visibility","Embracing spiritual expertise"
"What generational patterns am I healing through my business?","Generational Healing","generational, patterns, healing","Family pattern breaking","All stages","Healing Prompt","30 min","Advanced","Family pattern awareness","Healed generational patterns","generational patterns healing","Healing family patterns through business"
"How can I create more flow and ease in my business?","Flow State","flow, ease, effortless","Business struggle","Scaling","Flow Prompt","15 min","Intermediate","Flow awareness","Effortless business flow","flow ease effortless","Creating business flow and ease"
"What does my body tell me about my business decisions?","Body Wisdom","body wisdom, intuition, somatic","Ignoring body signals","All stages","Somatic Prompt","15 min","Advanced","Body awareness","Body-informed decisions","body wisdom intuition somatic","Using body wisdom in business"
"How do I honor my cyclical nature in business planning?","Cyclical Business","cycles, planning, natural rhythms","Linear business thinking","All stages","Cyclical Prompt","20 min","Advanced","Cyclical awareness","Rhythm-aligned business","cycles planning natural rhythms","Honoring natural cycles in business"
