Title,Category,Tags,Challenge_Addressed,Business_Stage,Resource_Type,Time_Investment,Difficulty_Level,Prerequisites,Expected_Outcome,Keywords,Description
"Welcome to Our Sacred Community Email","Email Templates","welcome, community, sacred","New member onboarding","All stages","Template","5 min","Beginner","Email platform","Warm community welcome","welcome sacred community email","First email to new community members"
"New Moon Intention Setting Post","Social Media","new moon, intentions, ritual","Consistent spiritual content","All stages","Script","10 min","Beginner","Social media account","Engaged spiritual audience","new moon intentions ritual","Monthly new moon community ritual"
"Spiritual Entrepreneur Introduction Template","Networking Scripts","introduction, networking, spiritual","Authentic networking","Starting out","Script","5 min","Beginner","None","Meaningful connections","spiritual entrepreneur introduction","How to introduce yourself authentically"
"Sacred Circle Opening Ritual Script","Ceremony Scripts","opening, ritual, sacred circle","Professional ceremony facilitation","Starting out","Script","15 min","Intermediate","Group facilitation","Powerful circle opening","sacred circle opening ritual","Professional circle opening ceremony"
"Vulnerability Share Invitation","Community Prompts","vulnerability, sharing, authentic","Deeper community connection","All stages","Prompt","5 min","Intermediate","Safe space","Authentic sharing","vulnerability share invitation","Encouraging authentic community sharing"
"Spiritual Business Challenge Post","Engagement Posts","challenge, business, spiritual","Community engagement","Scaling","Template","10 min","Beginner","Community platform","Active participation","spiritual business challenge","Weekly community engagement challenge"
"Energy Check-In Conversation Starter","Conversation Starters","energy, check-in, wellness","Community wellness","All stages","Script","2 min","Beginner","None","Member connection","energy check-in conversation","Daily community wellness check"
"Sacred Success Story Template","Success Stories","success, sacred, celebration","Celebrating wins","All stages","Template","15 min","Beginner","Success examples","Community inspiration","sacred success story template","Framework for sharing spiritual wins"
"Spiritual Business Q&A Format","Q&A Scripts","questions, business, spiritual","Expert positioning","Established","Format","20 min","Intermediate","Business knowledge","Thought leadership","spiritual business QA format","Professional Q&A session structure"
"Community Gratitude Ritual Script","Ritual Scripts","gratitude, community, appreciation","Building appreciation","All stages","Script","10 min","Beginner","None","Grateful community","gratitude ritual community","Weekly gratitude practice for groups"
"Spiritual Conflict Resolution Guide","Conflict Resolution","conflict, resolution, spiritual","Community harmony","All stages","Guide","30 min","Advanced","Mediation skills","Peaceful resolution","spiritual conflict resolution","Handling community conflicts with love"
"New Member Buddy System Script","Onboarding Scripts","buddy system, new member, support","Member retention","Scaling","Script","15 min","Intermediate","Member volunteers","Better retention","buddy system new member","Pairing new members with mentors"
