Title,Category,Tags,Challenge_Addressed,Business_Stage,Resource_Type,Time_Investment,Difficulty_Level,Prerequisites,Expected_Outcome,Keywords,Description
"Sacred 1:1 Coaching Package Structure","Coaching Packages","coaching, 1:1, sacred","Coaching service packaging","Starting out","Template","1 hour","Intermediate","Coaching skills","Professional coaching package","coaching 1on1 sacred package","Complete 1:1 spiritual coaching package"
"Energy Healing Session Pricing Tiers","Healing Pricing","energy healing, pricing, tiers","Healing service pricing","Starting out","Pricing","30 min","Intermediate","Healing certification","Confident healing pricing","energy healing pricing tiers","Tiered pricing for energy healing sessions"
"Spiritual Group Program Package Design","Group Packages","group program, spiritual, design","Group offering structure","Scaling","Template","2 hours","Advanced","Group facilitation","Professional group packages","group program spiritual package","Complete spiritual group program design"
"Sacred Retreat Pricing Framework","Retreat Pricing","retreat, pricing, sacred","Retreat pricing strategy","Established","Framework","1 hour","Advanced","Event planning","Profitable retreat pricing","retreat pricing sacred framework","Comprehensive retreat pricing strategy"
"Intuitive Reading Service Packages","Reading Packages","intuitive readings, packages, psychic","Reading service structure","Starting out","Template","45 min","Intermediate","Psychic abilities","Professional reading packages","intuitive reading packages","Structured psychic reading offerings"
"Spiritual Mentorship Program Pricing","Mentorship Pricing","mentorship, pricing, spiritual","Mentorship monetization","Established","Pricing","1 hour","Advanced","Mentorship experience","Valuable mentorship pricing","mentorship pricing spiritual","Professional spiritual mentorship pricing"
"Conscious Business Consulting Rates","Consulting Rates","consulting, rates, conscious","Consulting pricing","Established","Rates","30 min","Advanced","Business expertise","Professional consulting rates","consulting rates conscious","Spiritual business consulting pricing"
"Sacred Ceremony Pricing Guide","Ceremony Pricing","ceremony, pricing, sacred","Ceremony monetization","Starting out","Guide","45 min","Intermediate","Ceremony training","Professional ceremony pricing","ceremony pricing sacred","Pricing guide for spiritual ceremonies"
"Spiritual Course Creation Package","Course Packages","course, creation, spiritual","Course offering design","Scaling","Template","3 hours","Advanced","Teaching ability","Professional spiritual course","course creation spiritual package","Complete spiritual course package design"
"Energy Clearing Service Pricing","Energy Pricing","energy clearing, service, pricing","Energy work monetization","Starting out","Pricing","30 min","Advanced","Energy work training","Confident energy pricing","energy clearing service pricing","Professional energy clearing pricing"
"Spiritual Workshop Package Templates","Workshop Packages","workshop, packages, spiritual","Workshop monetization","Starting out","Template","1 hour","Intermediate","Workshop creation","Professional workshop packages","workshop packages spiritual","Complete spiritual workshop offerings"
"Sacred Mastermind Pricing Structure","Mastermind Pricing","mastermind, pricing, sacred","Mastermind monetization","Established","Structure","90 min","Advanced","Group leadership","Profitable mastermind pricing","mastermind pricing sacred","High-value mastermind pricing strategy"
